sgRNA	Gene	M07e-J4-1	M07e-J4-2	M07e-J4-3	M07e-J11-1	M07e-J11-2	M07e-J11-3	M07e-J18-1	M07e-J18-2	M07e-J18-3	M07e-J25-1	M07e-J25-2	M07e-J25-3
RNF17.1655	RNF17	575.9466522440084	463.9858730299971	541.2510865891376	494.6899758836469	440.1393026497439	510.87121288086365	857.4987507212844	284.22237891487396	342.1952547693869	818.1940912469356	535.0110396884036	786.2943905457004
MECP2.1657	MECP2	1046.7477303726257	1185.280548634769	1223.0298386618645	1727.4383080695839	1681.4574426850536	1623.1477776341364	1332.0039882745643	1983.0377905024002	1658.3308500362596	3062.286598774838	2365.4839250955984	2056.954660749132
ZNHIT1.390	ZNHIT1	952.5875147469022	1016.7847843680617	802.5447145976867	890.760085192419	992.2713460092981	1358.0120848731817	573.9253825644433	1234.6724441852552	1246.3804087177284	925.7023051728814	971.1879789152853	1398.6864939015104
PCGF1.706	PCGF1	1374.7391481355623	1247.5326782899565	1172.5277088786995	1257.4032988296556	1235.052811883712	1096.1097542190682	1153.499637004521	1277.6969327365894	796.262035136458	1030.9471882793337	828.2460980825057	969.7986445129467
SP140.391	SP140	2856.1932073136113	3377.3855408927698	2809.4554372851985	3367.391250629198	3410.6880125260404	3186.478356291716	4574.456444888644	3367.644058427153	3085.0218353055498	3620.1976457800097	4234.346915640739	3095.0339579010542
PBK.1439	PBK	1402.9872128232794	1269.1134165704214	1240.5957968473133	1414.081635242965	1229.570649751064	1223.8275574392842	1673.195849562875	1148.6234670825868	1632.0081381309221	1432.6884087394474	1560.1085279463373	1708.0832011718676
UBR2.850	UBR2	1737.2559782945975	1730.609204414211	1175.8213260384712	1418.8535642707816	1579.6458602215898	1927.0838156771817	1373.805640154258	1693.6003220661526	1771.5185112292106	1651.0998328205794	1324.8670326329627	1365.6130527795067
EXOSC4.460	EXOSC4	2126.4515362142542	2281.7480589614706	2192.4511560213136	2962.572604769429	2411.368172346195	2675.607143410852	2537.4732465349207	2608.84853306726	2962.6212249457303	2572.275476354474	3060.589871316715	3109.9703506658298
WNT5A.1784	WNT5A	2175.8856494177594	1797.8415044418134	1896.025611641867	1580.3038297119074	1459.0382933033325	1855.9498493266817	1541.012247673033	1314.202559386206	1349.0389851485445	1355.735160876665	1748.7918106456063	2080.42613509378
AICDA.1629	AICDA	2101.342145380728	2601.3089911914326	2691.983091920011	2648.420610438174	2877.35195362128	2361.9710190472842	3252.620425990221	2826.5785205846178	2337.456817193966	2562.090487666753	2578.671530223344	2845.3828216898005
SMYD1.570	SMYD1	443.3376819044479	414.18416930584715	232.74894595719505	360.280641600148	319.53173573148666	425.18711704957957	389.7721594187657	290.74124081659124	301.39505131611384	224.06975112986618	191.9505256897326	181.37048357227826
TAF6.1215	TAF6	1176.2180268579953	1134.6488165152166	890.3745055249301	472.42097375383645	369.6543609442689	562.6050065903182	279.05427065633364	426.33356837231094	255.3303054817733	122.21986425265428	227.07338783721556	196.3068763370541
MPHOSPH8.955	MPHOSPH8	2131.9442154590884	1557.9632981704913	2147.4383881711015	2024.888550803481	1433.9769806969414	2030.551403096091	1198.6906120095953	1431.5420736171175	1475.3880022941644	1552.6449421726081	1067.5716471339595	1229.051747501556
GLIS2.3594	GLIS2	1439.866630610021	2154.753714464888	1770.8681595705452	793.7308616268161	1298.4892594186394	1309.511653270568	571.6658338141897	405.4732102868156	781.7845435885224	124.48319507214788	242.59279204191736	438.48981616591976
YEATS4.885	YEATS4	883.536689954705	913.0312349427492	614.8085364907039	1083.2278893143523	1130.1085653444493	932.8249678236023	848.4605557202696	1345.493096514449	1142.4056966916455	946.0722825483239	1079.0069976005818	1108.4937201858652
