sgRNA	Gene	M07e-J4-1	M07e-J4-2	M07e-J4-3	M07e-J11-1	M07e-J11-2	M07e-J11-3	M07e-J18-1	M07e-J18-2	M07e-J18-3	M07e-J25-1	M07e-J25-2	M07e-J25-3
RNF17.1655	RNF17	734	559	493	622	562	316	759	218	260	723	655	737
MECP2.1657	MECP2	1334	1428	1114	2172	2147	1004	1179	1521	1260	2706	2896	1928
ZNHIT1.390	ZNHIT1	1214	1225	731	1120	1267	840	508	947	947	818	1189	1311
PCGF1.706	PCGF1	1752	1503	1068	1581	1577	678	1021	980	605	911	1014	909
SP140.391	SP140	3640	4069	2559	4234	4355	1971	4049	2583	2344	3199	5184	2901
PBK.1439	PBK	1788	1529	1130	1778	1570	757	1481	881	1240	1266	1910	1601
UBR2.850	UBR2	2214	2085	1071	1784	2017	1192	1216	1299	1346	1459	1622	1280
EXOSC4.460	EXOSC4	2710	2749	1997	3725	3079	1655	2246	2001	2251	2273	3747	2915
WNT5A.1784	WNT5A	2773	2166	1727	1987	1863	1148	1364	1008	1025	1198	2141	1950
AICDA.1629	AICDA	2678	3134	2452	3330	3674	1461	2879	2168	1776	2264	3157	2667
SMYD1.570	SMYD1	565	499	212	453	408	263	345	223	229	198	235	170
TAF6.1215	TAF6	1499	1367	811	594	472	348	247	327	194	108	278	184
MPHOSPH8.955	MPHOSPH8	2717	1877	1956	2546	1831	1256	1061	1098	1121	1372	1307	1152
GLIS2.3594	GLIS2	1835	2596	1613	998	1658	810	506	311	594	110	297	411
YEATS4.885	YEATS4	1126	1100	560	1362	1443	577	751	1032	868	836	1321	1039
TNP1.102	TNP1	892	707	862	1302	755	548	793	474	539	612	992	930
FLYWCH1.655	FLYWCH1	1869	1442	1047	1440	1782	844	1338	1263	1181	1211	1368	1040
JAK2.3504	JAK2	5408	5451	4475	1915	2520	1294	1198	1098	729	771	1051	657
CSRP2BP.2457	CSRP2BP	2696	2452	2116	2937	2879	1430	1762	1128	1466	1439	1876	1613
BAHCC1.1892	BAHCC1	1898	1559	935	1288	1286	583	923	935	1196	839	935	757
APOBEC3G.551	APOBEC3G	847	789	721	719	629	374	608	344	525	597	657	591
RUVBL2.531	RUVBL2	1643	1000	909	662	567	533	382	455	479	170	205	282
SETDB2.4731	SETDB2	2973	2949	2172	3664	3870	1344	2522	2346	2023	2636	4126	2247
EXOSC3.926	EXOSC3	1388	1357	1094	745	1024	534	618	435	271	326	603	193
PCGF2.1804	PCGF2	2494	2319	1830	3356	3595	1470	2786	2678	2436	2989	4703	3352
EID2.977	EID2	2964	3197	2269	3449	3303	1465	2678	2237	2086	2561	3277	3083
NCOA6.3481	NCOA6	1457	1120	736	1146	1490	747	779	686	965	1017	1473	1062
HR.2701	HR	1217	934	1132	1116	1131	594	1161	837	743	961	1204	858
MCL1.3282	MCL1	2155	1936	1858	2158	2167	1021	1682	1745	1366	1703	2898	1882
